,Train,Test,Val
accuracy,1.0,0.8079937304075235,0.7531541415249589
F1,1.0,0.8178438661710037,0.7711088504577822
recall,1.0,0.834597875569044,0.7838676318510859
precission,1.0,0.8017492711370262,0.7587587587587588
kappa,1.0,0.6150341349042943,0.5034056679612967
