,Train,Test,Val
accuracy,0.9423736565286989,0.4990859232175503,0.49835526315789475
F1,0.9463601532567049,0.5904334828101644,0.5927903871829105
recall,0.9745725558965366,0.6978798586572438,0.6851851851851852
precission,0.9197352089366984,0.5116580310880829,0.5223529411764706
kappa,0.8842197940743854,-0.01634942054832611,-0.030268011911640524
