,Train,Test,Val
accuracy,0.5552497050727487,0.550314465408805,0.5169491525423728
F1,0.6297872340425532,0.5416666666666665,0.5859564164648912
recall,0.7238525206922498,0.5090361445783133,0.6302083333333334
precission,0.5573580533024334,0.5787671232876712,0.5475113122171946
kappa,0.09588461053635511,0.10385464291344781,0.013107698327301298
