,Train,Test,Val
accuracy,0.8618951612903226,0.7899686520376176,0.7410861217772902
F1,0.8682269958319975,0.8115330520393811,0.7846715328467154
recall,0.8763754045307444,0.8755690440060698,0.889348500517063
precission,0.8602287166454892,0.7562254259501966,0.7020408163265306
kappa,0.7231774518137895,0.5772107640837845,0.47109595996228326
