Date,volume,direction_num,direction,sma_3,sma_7,sma_14,ema_3,ema_7,ema_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi_3,rsi_7,rsi_14,BBL_3_2.0,BBM_3_2.0,BBU_3_2.0,BBB_3_2.0,BBP_3_2.0,BBL_7_2.0,BBM_7_2.0,BBU_7_2.0,BBB_7_2.0,BBP_7_2.0,BBL_14_2.0,BBM_14_2.0,BBU_14_2.0,BBB_14_2.0,BBP_14_2.0,STOCHk_14_3_3,STOCHd_14_3_3,atr_3,atr_7,atr_14,cmf_3,cmf_7,cmf_14,ADX_3,DMP_3,DMN_3,ADX_7,DMP_7,DMN_7,ADX_14,DMP_14,DMN_14,pos_sma_3,pos_sma_7,pos_sma_14,pos_ema_3,pos_ema_7,pos_ema_14,pos_BBL_3_2.0,pos_BBM_3_2.0,pos_BBU_3_2.0,pos_BBL_7_2.0,pos_BBM_7_2.0,pos_BBU_7_2.0,pos_BBL_14_2.0,pos_BBM_14_2.0,pos_BBU_14_2.0
2010-02-19,121594600,94.7900390625,1,5640.2900390625,5567.52294921875,5568.541469029018,5639.855728229617,5595.033936891779,5600.607975667023,-100.30865995056774,47.17089761666446,-147.4795575672322,91.47380402686017,65.37361755869485,50.90092442932642,5567.308173441975,5640.2900390625,5713.271904683025,2.5878763366805835,4.035349607973811,5431.068236491224,5567.52294921875,5703.977661946276,4.901810516889709,3.8485531902663843,5397.984179799179,5568.541469029018,5739.098758258857,6.125743704287387,5.782366551760935,68.93147757517299,50.95172289856391,81.13472593609123,91.09837533490301,96.00918914697563,0.3814057856808727,0.00820743930311901,-0.11580726877766714,-100.30865995056774,47.17089761666446,-147.4795575672322,-100.30865995056774,47.17089761666446,-147.4795575672322,-100.30865995056774,47.17089761666446,-147.4795575672322,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1
2010-02-22,94749200,-52.56005859375,0,5683.599934895833,5594.048618861607,5573.367885044643,5680.9527664585585,5626.78790384071,5616.800219536421,-82.55827295087238,51.937027693087884,-134.49530064396026,94.29102367709835,69.90810536142403,54.105791567632224,5623.247180720423,5683.599934895833,5743.952689071243,2.123750963007085,2.5878763366805835,5424.061094677046,5594.048618861607,5764.036143046168,6.07744178738131,4.901810516889709,5390.012241187929,5573.367885044643,5756.723528901357,6.579707194593173,6.125743704287387,83.33498426741018,67.47629195515161,88.42657610445363,92.80912953224627,96.55303741537719,0.3592948789098779,0.19121751216594235,-0.10472738838263124,-82.55827295087238,51.937027693087884,-134.49530064396026,-82.55827295087238,51.937027693087884,-134.49530064396026,-82.55827295087238,51.937027693087884,-134.49530064396026,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2010-02-23,138143800,-111.56005859375,0,5696.966634114583,5620.407156808035,5571.852155412947,5684.696353932404,5642.2009132320945,5626.352182452399,-70.39156826470571,51.282985903403656,-121.67455416810937,67.34823398218182,62.23356651903464,51.20071796136185,5660.89287830212,5696.966634114583,5733.040389927046,1.2664197678970408,2.123750963007085,5457.412752886603,5620.407156808035,5783.401560729468,5.800092390957699,6.07744178738131,5392.726219406276,5571.852155412947,5750.978091419617,6.429672970868519,6.579707194593173,86.8530899124482,79.70651725167711,79.0444687721991,88.14096606816982,93.75284772271657,0.3124934498501568,0.12665848079820458,-0.20651480125441565,-70.39156826470571,51.282985903403656,-121.67455416810937,-70.39156826470571,51.282985903403656,-121.67455416810937,-70.39156826470571,51.282985903403656,-121.67455416810937,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2010-02-24,130761600,-6.80029296875,0,5671.519856770833,5635.218540736607,5566.993582589285,5644.383089075577,5632.668140978758,5623.3812013545785,-66.78744638292483,43.90968622814765,-110.69713261107248,32.44238715053907,47.09279727756572,44.71088861706992,5572.262133028998,5671.519856770833,5770.7775805126685,3.5002160355072562,1.2664197678970408,5502.511040335279,5635.218540736607,5767.926041137935,4.709932700639534,5.800092390957699,5395.478271213057,5566.993582589285,5738.508893965513,6.161864885658946,6.429672970868519,77.76934057945859,82.65247158643899,101.9196302796527,96.67831027897942,97.89126835920808,-0.2178401285456863,0.026007201779489335,-0.21734729132649652,-66.78744638292483,43.90968622814765,-110.69713261107248,-66.78744638292483,43.90968622814765,-110.69713261107248,-66.78744638292483,43.90968622814765,-110.69713261107248,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1
2010-02-25,150089500,-30.3701171875,0,5636.006510416667,5650.134207589285,5572.869977678572,5629.946427350289,5628.378547140319,5622.331676590635,-62.29000574931706,38.725701489404344,-101.0157072387214,38.884787364514224,49.05353386209265,45.7156244775836,5561.26845087805,5636.006510416667,5710.744569955284,2.65216370493835,3.5002160355072562,5559.910836401258,5650.134207589285,5740.3575787773125,3.1936717916129753,4.709932700639534,5400.74681549609,5572.869977678572,5744.993139861053,6.17718205778708,6.161864885658946,65.2962377734706,76.63955608845913,90.43307032625647,92.49029743573224,95.5678805793751,-0.3962394040424709,0.11292856654956282,-0.11703426234894762,-62.29000574931706,38.725701489404344,-101.0157072387214,-62.29000574931706,38.725701489404344,-101.0157072387214,-62.29000574931706,38.725701489404344,-101.0157072387214,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
2010-02-26,114404300,9.4697265625,1,5583.969889322917,5641.5927734375,5579.869280133928,5581.1382527376445,5604.36642988649,5610.331463461884,-64.69192897655557,29.05902260973268,-93.75095158628825,19.060615163033926,37.32087294772239,40.02084725292011,5510.345244169055,5583.969889322917,5657.594534476779,2.6370000774767486,2.65216370493835,5523.883847226543,5641.5927734375,5759.301699648457,4.172896943755654,3.1936717916129753,5423.6100061047655,5579.869280133928,5736.128554163091,5.6008220330714416,6.17718205778708,48.45607321570417,63.840550522877784,106.1153768982,98.93581459355686,98.75214414021421,-0.4389534514920006,-0.14791605764884727,-0.05880809565986339,-64.69192897655557,29.05902260973268,-93.75095158628825,-64.69192897655557,29.05902260973268,-93.75095158628825,-64.69192897655557,29.05902260973268,-93.75095158628825,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
2010-03-01,98501000,60.65966796875,1,5582.099934895833,5634.467075892857,5587.984270368303,5589.799106837572,5602.889812649242,5608.748596458633,-60.561229411981,26.55177773944581,-87.11300715142681,49.66383777600512,48.70132740714472,45.80135110766538,5510.35124492475,5582.099934895833,5653.848624866916,2.570670206835767,2.6370000774767486,5513.267305997006,5634.467075892857,5755.666845788708,4.302084589841906,4.172896943755654,5440.76782334131,5587.984270368303,5735.200717395297,5.269035842052954,5.6008220330714416,46.72195833103944,53.49142310673807,95.71363527106854,95.49514982243494,96.94895152338266,0.029541524193961614,0.01939575952291951,-0.038527675152955194,-60.561229411981,26.55177773944581,-87.11300715142681,-60.561229411981,26.55177773944581,-87.11300715142681,-60.561229411981,26.55177773944581,-87.11300715142681,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2010-03-02,116696700,48.2802734375,1,5614.7666015625,5639.195591517857,5603.359270368303,5651.654436231286,5630.544800893182,5622.716752347482,-47.45700767649396,31.724799579946293,-79.18180725644025,74.6634749060039,62.515463571292635,54.09099807557389,5465.047311449265,5614.7666015625,5764.485891675735,5.333054808424996,2.570670206835767,5508.94991040012,5639.195591517857,5769.441272635594,4.619300004903003,4.302084589841906,5451.936416439892,5603.359270368303,5754.782124296715,5.404716942894095,5.269035842052954,56.993499623516946,50.723843723420195,103.56250885929663,98.89730772825364,98.62931535922269,0.1718926298790605,0.0260759755079611,0.017488012828750028,-47.45700767649396,31.724799579946293,-79.18180725644025,-47.45700767649396,31.724799579946293,-79.18180725644025,-47.45700767649396,31.724799579946293,-79.18180725644025,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2010-03-03,104617500,58.65966796875,1,5696.176595052083,5646.982770647322,5620.515694754465,5714.107247412518,5667.048615318324,5643.229193180317,-31.61969368478549,38.04969085732381,-69.6693845421093,82.00874230654996,68.02133371996263,57.8920000536868,5548.706911859242,5696.176595052083,5843.646278244924,5.177848008467263,5.333054808424996,5493.4220137543225,5646.982770647322,5800.543527540321,5.438683386505044,4.619300004903003,5450.1033811053385,5620.515694754465,5790.928008403591,6.0639387168038414,5.404716942894095,79.41337999056859,61.04294598170833,92.50830602096978,94.81891023672951,96.51146193459259,0.8695766581563968,0.02742609294790253,0.10583610715627882,-31.61969368478549,38.04969085732381,-69.6693845421093,-31.61969368478549,38.04969085732381,-69.6693845421093,-31.61969368478549,38.04969085732381,-69.6693845421093,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2010-03-04,103410600,21.4599609375,1,5769.316569010417,5665.474190848215,5642.940673828125,5765.993565112509,5704.756432191868,5666.515951797942,-15.555034993662048,43.2914796387578,-58.84651463241985,85.99886620111143,71.2500444967716,60.2166503548069,5683.4852391214445,5769.316569010417,5855.1478988993895,2.9754418521601336,5.177848008467263,5470.743338948978,5665.474190848215,5860.205042747451,6.874300202930846,5.438683386505044,5457.806458317506,5642.940673828125,5828.074889338744,6.561621899350043,6.0639387168038414,95.15274449386573,77.18654136931708,87.8388704929607,92.48403572169549,95.16502876289955,0.8379939229837259,0.20886465979181848,0.17049421080387053,-15.555034993662048,43.2914796387578,-58.84651463241985,-15.555034993662048,43.2914796387578,-58.84651463241985,-15.555034993662048,43.2914796387578,-58.84651463241985,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
