,Train,Test,Val
accuracy,0.796028880866426,0.7815126050420168,0.7161764705882353
F1,0.8014059753954306,0.7758620689655172,0.6788685524126455
recall,0.8042328042328042,0.7228915662650602,0.555858310626703
precission,0.7985989492119089,0.8372093023255814,0.8717948717948718
kappa,0.5917638044311123,0.5649682760075224,0.4460670932450913
