,Train,Test,Val
accuracy,0.7942238267148014,0.7289915966386554,0.7455882352941177
F1,0.8027681660899654,0.7445544554455445,0.7559943582510579
recall,0.818342151675485,0.7550200803212851,0.7302452316076294
precission,0.7877758913412564,0.734375,0.783625730994152
kappa,0.5878366252149538,0.45608191900223227,0.4909386737749467
