Date,open,high,low,close,adj_close,volume,direction_num,direction,rsi_3,rsi_7,rsi_14,BBB_3_2.0,BBP_3_2.0,BBB_7_2.0,BBP_7_2.0,BBB_14_2.0,BBP_14_2.0,STOCHk_14_3_3,STOCHd_14_3_3,atr_3,atr_7,atr_14,cmf_3,cmf_7,cmf_14,ADX_3,DMP_3,DMN_3,ADX_7,DMP_7,DMN_7,ADX_14,DMP_14,DMN_14,pos_sma_3,pos_sma_7,pos_sma_14,pos_ema_3,pos_ema_7,pos_ema_14,pos_BBL_3_2.0,pos_BBM_3_2.0,pos_BBU_3_2.0,pos_BBL_7_2.0,pos_BBM_7_2.0,pos_BBU_7_2.0,pos_BBL_14_2.0,pos_BBM_14_2.0,pos_BBU_14_2.0
2010-02-19,5627.259765625,5729.580078125,5626.56982421875,5722.0498046875,5722.0498046875,121594600,94.7900390625,1,91.47380402686017,65.37361755869485,50.90092442932642,2.5878763366805835,4.035349607973811,4.901810516889709,3.8485531902663843,6.125743704287387,5.782366551760935,68.93147757517299,50.95172289856391,81.13472593609123,91.09837533490301,96.00918914697563,0.3814057856808727,0.00820743930311901,-0.11580726877766714,-100.30865995056774,47.17089761666446,-147.4795575672322,-100.30865995056774,47.17089761666446,-147.4795575672322,-100.30865995056774,47.17089761666446,-147.4795575672322,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1
2010-02-22,5741.0,5743.89013671875,5683.60986328125,5688.43994140625,5688.43994140625,94749200,-52.56005859375,0,94.29102367709835,69.90810536142403,54.105791567632224,2.123750963007085,2.5878763366805835,6.07744178738131,4.901810516889709,6.579707194593173,6.125743704287387,83.33498426741018,67.47629195515161,88.42657610445363,92.80912953224627,96.55303741537719,0.3592948789098779,0.19121751216594235,-0.10472738838263124,-82.55827295087238,51.937027693087884,-134.49530064396026,-82.55827295087238,51.937027693087884,-134.49530064396026,-82.55827295087238,51.937027693087884,-134.49530064396026,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2010-02-23,5715.6298828125,5732.14013671875,5584.47021484375,5604.06982421875,5604.06982421875,138143800,-111.56005859375,0,67.34823398218182,62.23356651903464,51.20071796136185,1.2664197678970408,2.123750963007085,5.800092390957699,6.07744178738131,6.429672970868519,6.579707194593173,86.8530899124482,79.70651725167711,79.0444687721991,88.14096606816982,93.75284772271657,0.3124934498501568,0.12665848079820458,-0.20651480125441565,-70.39156826470571,51.282985903403656,-121.67455416810937,-70.39156826470571,51.282985903403656,-121.67455416810937,-70.39156826470571,51.282985903403656,-121.67455416810937,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2010-02-24,5622.31005859375,5639.7099609375,5572.25,5615.509765625,5615.509765625,130761600,-6.80029296875,0,32.44238715053907,47.09279727756572,44.71088861706992,3.5002160355072562,1.2664197678970408,4.709932700639534,5.800092390957699,6.161864885658946,6.429672970868519,77.76934057945859,82.65247158643899,101.9196302796527,96.67831027897942,97.89126835920808,-0.2178401285456863,0.026007201779489335,-0.21734729132649652,-66.78744638292483,43.90968622814765,-110.69713261107248,-66.78744638292483,43.90968622814765,-110.69713261107248,-66.78744638292483,43.90968622814765,-110.69713261107248,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1
2010-02-25,5562.7001953125,5655.75,5518.27001953125,5532.330078125,5532.330078125,150089500,-30.3701171875,0,38.884787364514224,49.05353386209265,45.7156244775836,2.65216370493835,3.5002160355072562,3.1936717916129753,4.709932700639534,6.17718205778708,6.161864885658946,65.2962377734706,76.63955608845913,90.43307032625647,92.49029743573224,95.5678805793751,-0.3962394040424709,0.11292856654956282,-0.11703426234894762,-62.29000574931706,38.725701489404344,-101.0157072387214,-62.29000574931706,38.725701489404344,-101.0157072387214,-62.29000574931706,38.725701489404344,-101.0157072387214,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1
2010-02-26,5588.990234375,5605.10009765625,5530.18994140625,5598.4599609375,5598.4599609375,114404300,9.4697265625,1,19.060615163033926,37.32087294772239,40.02084725292011,2.6370000774767486,2.65216370493835,4.172896943755654,3.1936717916129753,5.6008220330714416,6.17718205778708,48.45607321570417,63.840550522877784,106.1153768982,98.93581459355686,98.75214414021421,-0.4389534514920006,-0.14791605764884727,-0.05880809565986339,-64.69192897655557,29.05902260973268,-93.75095158628825,-64.69192897655557,29.05902260973268,-93.75095158628825,-64.69192897655557,29.05902260973268,-93.75095158628825,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
2010-03-01,5652.85009765625,5717.72021484375,5641.18017578125,5713.509765625,5713.509765625,98501000,60.65966796875,1,49.66383777600512,48.70132740714472,45.80135110766538,2.570670206835767,2.6370000774767486,4.302084589841906,4.172896943755654,5.269035842052954,5.6008220330714416,46.72195833103944,53.49142310673807,95.71363527106854,95.49514982243494,96.94895152338266,0.029541524193961614,0.01939575952291951,-0.038527675152955194,-60.561229411981,26.55177773944581,-87.11300715142681,-60.561229411981,26.55177773944581,-87.11300715142681,-60.561229411981,26.55177773944581,-87.11300715142681,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2010-03-02,5728.27978515625,5780.14013671875,5709.740234375,5776.56005859375,5776.56005859375,116696700,48.2802734375,1,74.6634749060039,62.515463571292635,54.09099807557389,5.333054808424996,2.570670206835767,4.619300004903003,4.302084589841906,5.404716942894095,5.269035842052954,56.993499623516946,50.723843723420195,103.56250885929663,98.89730772825364,98.62931535922269,0.1718926298790605,0.0260759755079611,0.017488012828750028,-47.45700767649396,31.724799579946293,-79.18180725644025,-47.45700767649396,31.724799579946293,-79.18180725644025,-47.45700767649396,31.724799579946293,-79.18180725644025,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2010-03-03,5759.22021484375,5828.7998046875,5750.2998046875,5817.8798828125,5817.8798828125,104617500,58.65966796875,1,82.00874230654996,68.02133371996263,57.8920000536868,5.177848008467263,5.333054808424996,5.438683386505044,4.619300004903003,6.0639387168038414,5.404716942894095,79.41337999056859,61.04294598170833,92.50830602096978,94.81891023672951,96.51146193459259,0.8695766581563968,0.02742609294790253,0.10583610715627882,-31.61969368478549,38.04969085732381,-69.6693845421093,-31.61969368478549,38.04969085732381,-69.6693845421093,-31.61969368478549,38.04969085732381,-69.6693845421093,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2010-03-04,5773.85986328125,5823.10986328125,5767.64990234375,5795.31982421875,5795.31982421875,103410600,21.4599609375,1,85.99886620111143,71.2500444967716,60.2166503548069,2.9754418521601336,5.177848008467263,6.874300202930846,5.438683386505044,6.561621899350043,6.0639387168038414,95.15274449386573,77.18654136931708,87.8388704929607,92.48403572169549,95.16502876289955,0.8379939229837259,0.20886465979181848,0.17049421080387053,-15.555034993662048,43.2914796387578,-58.84651463241985,-15.555034993662048,43.2914796387578,-58.84651463241985,-15.555034993662048,43.2914796387578,-58.84651463241985,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
