,Train,Test,Val
accuracy,0.8919763806877388,0.846839546191248,0.7810550198525241
F1,0.8969857568731369,0.8567096285064443,0.7953340402969247
recall,0.9002659574468085,0.8800623052959502,0.8064516129032258
precission,0.8937293729372937,0.8345642540620384,0.7845188284518828
kappa,0.7834438362678104,0.6924673447805711,0.5600643368686719
