,Train,Test,Val
accuracy,0.7996389891696751,0.7310924369747899,0.7470588235294118
F1,0.8069565217391304,0.75,0.7521613832853026
recall,0.818342151675485,0.7710843373493976,0.7111716621253406
precission,0.7958833619210978,0.7300380228136882,0.7981651376146789
kappa,0.5987851464250878,0.45956110628182156,0.49564902415675594
