,Train,Test,Val
accuracy,0.635863153755407,0.6635220125786163,0.6073446327683616
F1,0.6933774834437086,0.6805970149253732,0.6945054945054946
recall,0.7878103837471784,0.6867469879518072,0.8229166666666666
precission,0.6191602602010644,0.6745562130177515,0.6007604562737643
kappa,0.2606959351145398,0.32517551862282335,0.18096474583042044
