,Train,Test,Val
accuracy,0.9942876344086021,0.5023510971786834,0.46681294569391113
F1,0.9945108169195996,0.3553299492385787,0.19669421487603303
recall,0.9967637540453075,0.26555386949924126,0.12306101344364012
precission,0.9922680412371134,0.5368098159509203,0.4897119341563786
kappa,0.9885564144879702,0.020469250186172072,-0.020789599209156462
