,Train,Test,Val
accuracy,1.0,0.7931034482758621,0.734503565551289
F1,1.0,0.807017543859649,0.7625122669283612
recall,1.0,0.8376327769347496,0.8035160289555325
precission,1.0,0.7785613540197461,0.7254901960784313
kappa,1.0,0.5846856021284518,0.4632886444925667
