,Train,Test,Val
accuracy,0.8830645161290323,0.7962382445141066,0.7361492046077893
F1,0.8901515151515152,0.8153409090909091,0.7684159845931632
recall,0.912621359223301,0.8710166919575114,0.8252326783867632
precission,0.8687615526802218,0.7663551401869159,0.7189189189189189
kappa,0.7653134062921917,0.5901293015050171,0.4652071106242808
